"","From","To","Year","Points.x","Draw","Artist","Song","Language","Place","lyrics","neighbor","ally","mid"
"3268","Lithuania","Spain",2010,8,NA,"Daniel Diges","""Algo Pequeñito""","Spanish",15,"  Algo pequeñito, algo chiquitito Una rosa blanca, una caricia, un beso dulce y un perdón Algo pequeñito, algo chiquitito Un gesto tierno, una mirada, un abrazo o una flor Algo pequeñito, algo chiquitito Un simple te quiero, con dulzura, con cariño y con pasión Es lo que te pido amor, mi vida se derrumba, me partes el corazón Trata pronto de cambiar, el tiempo se termina ahora de verdad Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  Cosas simples que ahora no me das Que te pido con locura si no quieres terminar Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  En tus manos tienes la ocasión Hoy decides si quererme o romperme el corazón Algo pequeñito, algo muy bonito Tu pelo al viento que se enreda entre mis manos al calor Has sabido comprender que las pequeñas cosas son las que hacen esto arder Ahora trata de cambiar que el resto de las cosas ya se arreglarán Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  Cosas simples que ahora si me das Que te quiero con locura y siempre yo te voy a amar Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  En tus manos tienes la ocasión Decidiste tú quererme y no romperme el corazón Y no romperme el corazón Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  Cosas simples que ahora no me das Que te pido con locura si no quieres terminar Algo pequeñito, whoa. . .  algo chiquitito, whoa. . .  En tus manos tienes la ocasión Hoy decides si quererme o romperme el corazón ",0,0,0
"3274","Lithuania","The Netherlands",2019,12,NA,NA,NA,NA,NA,NA,0,0,0
"3279","Lithuania","The Netherlands",2019,7,NA,NA,NA,NA,NA,NA,0,0,0
"3315","Macedonia","The Netherlands",2016,2,NA,NA,NA,NA,NA,NA,0,0,0
"3318","Macedonia","The Netherlands",2013,2,NA,NA,NA,NA,NA,NA,0,0,0
"3355","Macedonia","The Netherlands",2014,7,NA,NA,NA,NA,NA,NA,0,0,0
"3414","Malta","North Macedonia",2019,3,NA,NA,NA,NA,NA,NA,0,0,0
"3419","Malta","The Netherlands",2016,3,NA,NA,NA,NA,NA,NA,0,0,0
"3492","Malta","The Netherlands",2019,7,NA,NA,NA,NA,NA,NA,0,0,0
"3502","Malta","The Netherlands",2019,10,NA,NA,NA,NA,NA,NA,0,0,0
"3534","Malta","North Macedonia",2019,5,NA,NA,NA,NA,NA,NA,0,0,0
"3606","Moldova","The Netherlands",2019,6,NA,NA,NA,NA,NA,NA,0,0,0
"3609","Moldova","North Macedonia",2019,12,NA,NA,NA,NA,NA,NA,0,0,0
"3627","Moldova","The Netherlands",2019,3,NA,NA,NA,NA,NA,NA,0,0,0
"3648","Moldova","The Netherlands",2018,1,NA,NA,NA,NA,NA,NA,0,0,0
