"","X","Draw","To","Artist","Song","Language","Place","Points","Year","lyrics","corpus$sent"
"20",20,"20","Azerbaijan","Chingiz","""Truth""","English","7","297",2019," I'm in the mirror So freaking bitter But I've gotta get through I've gotta get through Keep it together Be cool under pressure 'Cause she wants to break you She wants to break you Drink till I forget She's on to the next And when the ghost starts screaming Right when they resonate Hear my heart confess It's been so hard to bear So shut up about it Shut up about it It's just too hard to hear So shut up about it Shut up about it Oh, oh-oh-oh, oh-oh-oh-oh-oh Shut up, shut up about it  Out of the mirror It's getting clearer But then out of the blue She crashes the room Gotta remember She is a killer With that freaking perfume Girl, it's too soon It's been so hard to bear So shut up about it Shut up about it It's just too hard to hear So shut up about it Shut up about it Oh, oh-oh-oh, oh-oh-oh-oh-oh Shut up, shut up about it Oh, oh-oh-oh, oh-oh-oh-oh-oh Shut up, shut up about it I don't need, I don't need the truth I don't need, I don't need the truth  It's been so hard to bear So shut up about it Shut up about it It's just too hard to hear So shut up about it Shut up about it Oh, oh-oh-oh, oh-oh-oh-oh-oh Shut up, shut up about it Oh, oh-oh-oh, oh-oh-oh-oh-oh Shut up, shut up about it ",-0.0465116279069767
"24",24,"24","Switzerland","Luca Hänni","""She Got Me""","English","4","360",2019," I noticed her when she arrived Kinda of lady that mama like But mama, she ain't here tonight Gettin' rowdy, rowdy When she poured out a little spice Got the whole place on a vibe Monday night into Friday night Gettin' rowdy, rowdy She let her body. . .  talk She make the party. . .  stop She gettin' naughty. . .  ya Droppin' it, droppin' it down When she go low, when she go low She go so low, she go so low Oh, she know oh Oh, she know she got me dirty dancin' When she go low, when she go low She go so low, she go so low Oh, she know oh Oh, she know she got me dirty dancin' Dirty dancin' Dirty dancin' Dirty dancin' Oh, she lightin' the fire now We're goin' wild, like an animal All in, gonna sweat it out Gettin' rowdy, rowdy Turnin' heads and turnin' up Breakin' necks, she breakin' cups Look at her, can't get enough Gettin' rowdy, rowdy She let her body. . .  talk She make the party. . .  stop She gettin' naughty. . .  ya Droppin' it, droppin' it down When she go low, when she go low She go so low, she go so low Oh, she know oh Oh, she know she got me dirty dancin' When she go low, when she go low She go so low, she go so low Oh, she know oh Oh, she know she got me dirty dancin' Dirty dancin' Dirty dancin' All the boys go, yo-yo-yo All the girls go, yo-yo-yo Everyone go, yo-yo-yo She got us dirty dancin' When she go low, when she go low She go so low, she go so low Oh, she know oh Oh, she know she got me dirty dancin' She got me dirty dancin' Dirty dancin' Oh, she got me Dirty dancin' Yeah, she got me, got me, got me Dirty dancin' When she go low, when she go low She go so low, she go so low Oh, she know oh Oh, she know she got me dirty dancin' Dirty dancin' ",-0.0756880733944954
"25",25,"25","Australia","Kate Miller-Heidke","""Zero Gravity""","English","9","285",2019," Hey you It's me again Hey you Stone in my shoe I've been aching Feeling low You're so heavy I have got to let you go I'm going where there's zero gravity Zero gravity Zero gravity I'm free, ah. . .   Hey you Lock with no key Hey you Earth with no sea  I've been freezing On the ground You're so heavy I can't let you keep me down anymore  Zero gravity Zero gravity   ( and it feels like )  Ah. . .   ( and it feels like )  Ah. . .   ( and it feels like )  Ah. . .   ( and it feels like )  Ah. . .   Nothing holding me down Nothing holding me down Nothing holding me down now Nothing holding me down  Nothing holding me down Nothing holding me down Nothing holding me down now Nothing holding me down ",0.0533333333333333
"27",27,"1","Ukraine","Mélovin","""Under the Ladder""","English","17","130",2018,"  Curtains down, I'm laughing at the trial Help me to unravel Tangle of my innocence inside Faith's bout to be severed  ( Oh oh oh oh )  Won't get any better  ( Oh oh oh oh )  Walk under the ladder Shout out just one reason what's this for You can see that whatever the weather That the wind's always there, always fair  ( Oh oh oh )  And it has always been now or never The decision has got to be made  ( Oh oh oh )   ( Oh oh oh oh oh oh oh oh oh, yeah )   ( Oh oh oh oh oh oh oh oh oh, yeah )  Desperate thoughts, your hope calls you a liar Fear begins to revel Nothing but your will sets you on fire Fire lasts forever  ( Oh oh oh oh )  Can't get any better  ( Oh oh oh oh )  Dance under the ladder If you dare, so what you're waiting for You can see that whatever the weather That the wind's always there, always fair  ( Oh oh oh )  And it has always been now or never The decision has got to be made  ( Oh oh oh )   ( Oh oh oh oh oh oh oh oh oh, yeah )   ( Oh oh oh oh oh oh oh oh oh, yeah )  You can see that whatever the weather That the wind's always there, always fair  ( Oh oh oh )  And it has always been now or never The decision has got to be made You can see that whatever the weather That the wind's always there, always fair  ( Oh oh oh )  And it has always been now or never The decision has got to be made  ( Oh oh oh )   ( Oh oh oh oh oh oh oh oh oh, yeah )   ( Oh oh oh oh oh oh oh oh oh, yeah )  ",0.0327380952380952
"30",30,"4","Lithuania","Ieva Zasimauskaitė","""When We're Old""","English","12","181",2018,"  I know I'll never forget that day when first time we met We've come a long way since then and I would do It all again From your very first smile I knew that I'd walk a mile See it's for real when you know you never want to let go These are the reasons I want you to know  ( oh oh oh )  You make this place feel like home These are the reasons I can't let you go  ( oh oh oh )  Let's sing this song that we wrote When we're old  ( oh oh oh )  When we're old  ( oh oh oh )  No matter what comes our way I feel like you're here to stay You were there right from the start and let me inside your heart After all this time, I hate the sound of goodbye And if you leave I would… These are the reasons I want you to know  ( oh oh oh )  You make this place feel like home These are the reasons I can't let you go  ( oh oh oh )  Let's sing this song that we wrote When we're old  ( oh oh oh )  When we're old  ( oh oh oh )  Right from our very first kiss I knew it'll end up like this I'm not afraid to grow old if I have your hand to hold ",0.0379746835443038
"31",31,"5","Austria","Cesár Sampson","""Nobody but You""","English","3","342",2018," Lord I'm gonna get so high tonight I'm gonna let the floodgates open wide I'm in open water This is what I need And though I try to get you off my mind And I get no sleep I'm in too deep I can't let you leave It wouldn't be right letting you go running away from love Ain't nobody but you I can hold onto So am I wrong giving my all making you stay tonight?  Ain't nobody but you I can hold onto Lord, I'm gonna bring you back tonight Oh you're running circles round my mind After your words have been my bible How could I search for someone new?  When I really want you by my side And I get no sleep I'm in too deep I can't let you leave It wouldn't be right letting you go running away from love Ain't nobody but you I can hold onto So am I wrong giving my all making you stay tonight?  Ain't nobody but you I can hold onto Don't make me tear my heart out I'm shaking till I fall down Don't make me tear my heart out Don't make me tear my heart out I'm shaking till I fall down Don't make me tear my heart out It wouldn't be right letting you go running away Ain't nobody but you I can hold onto So am I wrong giving my all making you stay tonight?  Ain't nobody but you I can hold onto It wouldn't be right letting you go running away from love Ain't nobody but you I can hold onto Ain't nobody but you ",0.0072202166064982
"33",33,"7","Norway","Alexander Rybak","""That's How You Write a Song""","English","15","144",2018," If you got a minute Get down your idea It might do wonders Maybe disappear Who knows Just get it down and nothing can go wrong Go find your rhythm That's how you write a song Enjoy the small things with time they will get big Gotta find your mission A mission to pursue You know you got a talent, what ever it may be So work your magic And sing along with me Step one Believe in it and sing it all day long Step two Just roll with it That's how you write a song Sing: Shoo-bee-doo-bee dab dab   ( Shoo-bee-doo-bee dab dab )  Sha-ba-da-da hey   ( Sha-ba-da-da hey )  Say: All day long  ( All day long )  And that's how you write a song Scoo-bee-doo-bee bap bap   ( Scoo-bee-doo-bee bap bap )  Boogie boogie woogie   ( Boogie boogie woogie )  Say: All day long  ( All day long )  See, that's how you write a song Step one Believe in it and sing it all day long Step two Just roll with it That's how you write a song Step one Believe in it and sing it all day long Step two Just roll with it.  That's how you write a song Step one Believe in it and sing it all day long Step two Just roll with it.  That's how you write a song Step one Believe in it and sing it all day long Step two Just roll with it That's how you write a song Step one Believe in it and sing it all day long Step two Just roll with it and that's how you write a song See that`s how you write a song and That's how you write a song ",0
"35",35,"9","United Kingdom","SuRie","""Storm""","English","24","48",2018,"Hey, hey brother Do you remember when we were kids with no fear?  Hey, hey sister Do you believe in the things we dreamt we'd discover?   I still have faith I still believe in chasing rainbows  Storms don't last forever, forever, remember We can hold our hands together Through this storm, through this storm Storms don't last forever, forever, remember We can hold our hands together Through this storm, through this storm  Hey, hey mother Am I making you proud or could I do better?  Hey, hey father There's weight on my shoulders but it's not over  I still have faith I still believe in chasing rainbows  Storms don't last forever, forever, remember We can hold our hands together Through this storm, through this storm Storms don't last forever, forever, remember We can hold our hands together Through this storm, through this storm  Spread your love, give all you got Hold your head up, don't give up, no no Hey, hey brother, don't give up  Storms don't last forever, forever, remember We can hold our hands together Through this storm, through this storm  Spread your love, give all you got Hold your head up, don't give up, no no Spread your love, give all you got Hold your head up, through this storm",0.0530612244897959
"37",37,"11","Germany","Michael Schulte","""You Let Me Walk Alone""","English","4","340",2018," I'm a dreamer, a make believer I was told that you were, too I love the silence and the clear horizon And I got that all from you Every now and then I'm drawn to places Where I hear your voice or see your face And every little thought will lead me right back to you I was born from one love Of two hearts We were three kids and a loving mum You made this place a home A shelter from the storm You said I had one life And a true heart I tried my best And I came so far But you will never know 'Cause you let me walk this road alone My childhood hero will always be you And no one else comes close I thought you'd lead me When life's misleading That's when I miss you most  Every now and then I'm drawn to places Where I hear your voice or see your face  And every little thought will lead me right back to you I was born from one love Of two hearts We were three kids and a loving mum You made this place a home A shelter from the storm You said I had one life And a true heart I tried my best And I came so far But you will never know 'Cause you let me walk this road alone Ohhhh, ohhhh, ohhhh I was born from one love Of two hearts We were three kids and a loving mum You made this place a home A shelter from the storm You said I had one life And a true heart I tried my best And I came so far But you will never know 'Cause you let me walk this road alone ",0.0830564784053156
"40",40,"14","Czech Republic","Mikolas Josef","""Lie to Me""","English","6","281",2018," Oh oh she a good girl at home but Her skirt goes up like Marilyn Monroe's Papa likes the drama mama hotter then lava She rocking high heels Prada her face like Madonna By the way she moved got me making a puddle Baby I already knew you would be nothing but a trouble Damn it everybody knows she never loved for real Honey bunny up all night wannabe couple goals queen I know you ""bop-whop-a-lu bop"" on his wood bamboo when you were still seeing me and well he didn't even knew hmmm But God damn it come and count to three now sit down GGY I'm on fire Come and lie to me Lie to me, oh baby come a little closer Lie to me Lie to me, oh baby lean upon my shoulder Lie to me Get down on my body and Love me like it was always meant to be Now you love somebody new I always knew So come and give it to me When the beat dropped she dropped Dropped it like its hot and now without a Second thought she got me doing what I'm not Then it got heavy Mom I'm feeling home already but steady Plenty motherfuckers wanna eat my spaghetti Then she got one of my friends She got him dripping on wood I know it hurt so bad but it feels so good Quit sweet talking me now baby I don't give a fuck you Should have thought about me before you fucked him at the club I know you ""bop-whop-a-lu bop"" on his wood bamboo when You were still seeing me and well he didn't even knew hmmm But God damn it come and count to three now sit down GGY I'm on fire Come and lie to me Lie to me, oh baby come a little closer Lie to me Lie to me, oh baby lean upon my shoulder Lie to me Get down on my body and Love me like it was always meant to be Now you love somebody new I always knew So come and give it to me You know I like it When you lie lie lie You look so good When you lie lie lie Set my camel in the mood, when you lie Come and lie to me Lie to me, oh baby come a little closer Lie to me Lie to me, oh baby lean upon my shoulder Lie to me Get down on my body and Love me like it was always meant to be Now you love somebody new I always knew So come and give it to me ",0.0441501103752759
"41",41,"15","Denmark","Rasmussen","""Higher Ground""","English","9","226",2018," Ships in the making Bound for a distant shore World for the taking Man gone forever more Boarding and setting sail Yet victory won't prevail Freeze the arrow in the air Make you mark and leave it hanging there Be the first to turn around Take the leap to land on higher ground  ( Taka stökk til hærri jörð )  Call in, surrender Still I won't feel like defeat Man laying down their swords Each of their own accord Freeze the arrow in the air Make you mark and leave it hanging there Be the first to turn around Take the leap to land on higher ground Raise the banner to the sky Face the fear and hold your head up high Oh oh oh. . .  Take the leap like you were bound for higher ground  ( Taka stökk til hærri jörð )  Freeze the arrow in the air Make you mark and leave it hanging there Freeze the arrow in the air Make you mark and leave it hanging there Be the first to turn around Take the leap to land on higher ground Be the first to turn around Take the leap and land on higher ground ",-0.0099009900990099
"42",42,"16","Australia","Jessica Mauboy","""We Got Love""","English","20","99",2018," Why Do we always feel that we need to try Why do we believe that we need to be somebody else to feel alive Why do we make Why do we keep making the same mistakes In believing that it won't make a difference if we try to break away I know I know what you must be thinking That we are Powerless to change things But don't, don't give up Cause we got love Cause we got love I won't Throw my hands up to surrender Cause love Is stronger than fire So don't, don't give up Cause we got love Cause we got love Time Don't you think it's just a waste of time When we're always fighting over material, trivial things in this life I don't understand why we don't get it right Why do we keep going round and round At the end of the day We've only got ourselves to blame I know I know what you must be thinking That we are Powerless to change things But don't, don't give up Cause we got love Cause we got love I won't Throw my hands up to surrender Cause love Is stronger than fire So don't, don't give up Cause we got love Cause we got love  ( We got love )   ( We got love )  We got love, we got love  ( We got love )  We got love I know I know what you must be thinking That we are Powerless to change things But don't, don't give up Cause we got love Cause we got love I won't Throw my hands up to surrender Cause love Is stronger than fire So don't, don't give up Cause we got love Cause we got love Cause we got love ",0.184210526315789
"43",43,"17","Finland","Saara Aalto","""Monsters""","English","25","46",2018,"  Closed my eyes So I couldn't see it Felt so numb But now I'm ready to feel it So tonight I'm making friends With all the creatures That are hiding there under my bed I ain't gonna hold on To these monsters anymore Now I'm gonna let in all the light Tear down the walls At my worst I found my army strong All the demons are gone You can try and scare me now But I ain't scared no more I ain't scared no more I ain't, I ain't I ain't scared no more It's my life I'm ready to lead it I'm gonna roll the dice You better believe it So tonight I'm making friends With all the creatures That are hiding there under my bed I ain't gonna hold on To these monsters anymore Now I'm gonna let in all the light Tear down the walls At my worst I found my army strong All the demons are gone You can try and scare me now But I ain't scared no more I ain't, I ain't I ain't scared no more I ain't scared no more I ain't, I ain't scared I ain't gonna hold on To these monsters anymore Now I'm gonna let in all the light Tear down the walls At my worst I found my army strong All the demons are gone You can try and scare me now But I ain't scared no more I ain't, I ain't I ain't scared no more I ain't scared no more I ain't, I ain't I ain't scared no more ",-0.118959107806691
"44",44,"18","Bulgaria","Equinox","""Bones""","English","14","166",2018," Love is like a black hole Everything is dark You just gotta let go And feel it, feel it, feel it We fall off the deep end Just to get a rush You know that it's right when You feel it, feel it, feel it What is life If it's just of the earth Only of the flesh and bones Wanna thrive In the dust Of the universe and way into unknown So I love beyond the bones Goes deep inside your soul I love beyond the bones Wanna be the fire Even if it burns Offer up my fibers To feel it, feel it, it What is life If it's just of the earth Only of the flesh and bones Wanna thrive in the dust Of the universe and way Into unknown So I love beyond The bones Goes deep inside your soul I love beyond the bones Into the unknown Where no other love goes ",0.110429447852761
