"","Draw","To","Artist","Song","Language","Place","Points","Year","lyrics"
"11","11","Cyprus","Tamta","""Replay""","English","15","101",2019,"  You've got a problem, 2 AM I'm in your head Let's just be honest tonight Only I can solve it You're twisting, turning in your bed Them sheets need my body tonight That's when you call me, that's when you call me Say you're feeling lonely Early in the morning, early in the morning Time is moving slowly We keep it undercover I know you miss the taste Heart beats like an 808 You need my love on replay Replay, replay, replay, yeah You need my love on replay Replay, replay, replay, yeah You're stuck on me darlin' Like a love song on repeat Yeah, you've got a problem, alright And I know I'm the one to blame Because I make you scream my name And baby, I'm all in tonight  That's when you call me, that's when you call me Say you're feeling lonely Early in the morning, early in the morning Time is moving slowly We keep it undercover I know you miss the taste Heart beats like an 808 You need my love on replay Replay, replay, replay, yeah You need my love on replay Replay, replay, replay, yeah "
"12","12","Netherlands","Duncan Laurence","""Arcade""","English","1","492",2019," A broken heart is all that's left I'm still fixing all the cracks Lost a couple of pieces when I carried it, carried it, carried it home I'm afraid of all I am My mind feels like a foreign land Silence ringing inside my head Please, carry me, carry me, carry me home I spent all of the love I've saved We were always a losing game Small-town boy in a big arcade I got addicted to a losing game Ooh, ooh. . .  All I know, all I know Loving you is a losing game How many pennies in the slot?  Giving us nothing and take a lot I saw the end before it begun Still I carried, I carried, I carried on  Ooh, ooh. . .  All I know, all I know Loving you is a losing game Ooh, ooh. . .  All I know, all I know Loving you is a losing game I don't need your games, game over Get me off this rollercoaster Ooh, ooh. . .  All I know, all I know Loving you is a losing game Ooh, ooh. . .  All I know, all I know Loving you is a losing game "
"13","13","Greece","Katerine Duska","""Better Love""","English","21","71",2019,"  Live for the mess Make me feel ageless  No pain, no gain  Teach me carelessness  And I'm about to see all that's made up And everything they want from us No pain, no gain Once bitten, make way And I can't hide it I won't fight this Yearning feeling inside Gotta get Better love, better love All that we're after Way to love, who you love Better love, better love All that we're after Way to love, who you love There's nothing more to say to back it up when I am unafraid, I've lost enough Go on, hold on for dear life 'Cause I won't hide it I can't fight this Burning feeling inside Gotta get Better love, better love All that we're after Way to love, who you love Better love, better love All that we're after Way to love, who you love Won't you lean on me You can lean on me Let them look, don't know, don't care Go deep with me Go deep with me Go deep with me Better love, better love All that we're after Way to love, who you love Better love, better love All that we're after Way to love, who you love What you waiting for?   ( x15 )  "
"14","14","Israel","Kobi Marimi","""Home""","English","23","47",2019," Oh-oh-oh-oh-oh-oh-oh-oh-ooh Caught up in this moment 'til my heartbeat stops I've been running barefoot to the mountain tops Nothing comes as easy as it goes I can hug the water when it snows I feel the sun upon my skin And I am someone, I am someone You pulled my heart, I took it in It made me someone, I am someone And now I'm done, I'm coming home I used to listen to the way they talk Counting down the minutes from the ticking clock I feel the sun upon my skin And I am someone, I am someone You pulled my heart, I took it in It made me someone, I am someone And now I'm done, I'm coming Home was so far, collecting scars, I refuse Another touch won't be another bruise I feel the sun upon my skin And I am someone, I am someone You pulled my heart, I took it in It made me someone, I am someone I am standing tall not giving in 'Cause I am someone, I am someone And now I'm done, I'm coming Now I'm done, I'm coming Now I'm done, I'm coming home "
"15","15","Norway","KEiiNO","""Spirit in the Sky""","English[g]","5","338",2019," Can't you stay Stay with me into the night Stay, I need you close You can go back when the sun rise again Just stay tonight, just stay Have you seen my spirit Lost in the night The violent nightshade They took away my light They call us nothing My name is nothing Come see me Please see me Cause I've been running with the demons now They all see my fear They say there's nothing Nothing here I see your spirit in the sky When northern lights are dancing He-lo e loi-la I hear you calling me at night Whenever wind is blowing He-lo e loi-la I can see your spirit in the sky When northern lights are dancing He-lo e loi-la Čajet dan čuovgga I'll follow you until the daylight Shy us away I need a hero I need my light Her shining lightwaves Will break away the night I call it freedom Our name is freedom Come find me Please find me Cause I am dancing with the fairies now They all sing our name I got my light here Shining here I hear you calling me at night Whenever wind is blowing He-lo e loi-la I can see your spirit in the sky When northern lights are dancing He-lo e loi-la Čajet dan čuovgga I hear you calling me at night Whenever wind is blowing He-lo e loi-la I can see your spirit in the sky When northern lights are dancing He-lo e loi-la Čajet dan čuovgga I can see your spirit in the sky When northern lights are dancing He-lo e loi-la Čajet dan čuovgga "
"16","16","United Kingdom","Michael Rice","""Bigger than Us""","English","26","16",2019," Hear these words that I sing to you I will make it clear, it's me and you We can have this love that we'll never lose It's bigger than us Take my hand and I'll lead you home Can you understand?  You will never be alone It's bigger than us It's bigger than you and me It's bigger than us It's bigger than everything we see 'Cause I can feel the universe When I'm feeling you breathe It's bigger than us And it's bigger than you and me It's bigger I won't give up and I won't let go 'Cause this kind of love is gonna be our only hope  ( It's bigger than us )  It's bigger than you and me It's bigger than us It's bigger than everything we see 'Cause I can feel the universe When I'm feeling you breathe It's bigger than us And it's bigger than you and me It's bigger  ( Bigger ) , bigger,  ( bigger ) , bigger  ( It's bigger than )   ( Bigger ) , bigger,  ( bigger ) , bigger  ( It's bigger than )  It's bigger than us It's bigger than you and me This kind of love Is bigger than everything we see, yeah  Oh, oh oh So much bigger, yeah  It's bigger than us  ( It's bigger than you and me )   ( It's bigger than us )  It's bigger than everything we see 'Cause I can feel the universe When I'm feeling you breathe It's bigger than us And it's bigger than you and me It's bigger   ( Bigger ) , bigger,  ( bigger ) , bigger It's bigger than  ( Bigger ) , bigger,  ( bigger ) , bigger  ( It's bigger than )  It's bigger "
"17","17","Iceland","Hatari","""Hatrið mun sigra""","Icelandic","10","234",2019,"  Svallið var hömlulaust Þynnkan er endalaus Lífið er tilgangslaust Tómið heimtir alla Hatrið mun sigra Gleðin tekur enda Enda er hún blekking Svikul tálsýn Allt sem ég sá Runnu niður tár Allt sem ég gaf Eitt sinn gaf Ég gaf þér allt Alhliða blekkingar Einhliða refsingar Auðtrúa aumingjar Flóttinn tekur enda Tómið heimtir alla Hatrið mun sigra Evrópa hrynja Vefur lyga Rísið úr öskunni Sameinuð sem eitt Allt sem ég sá.  Runnu niður tár.  Allt sem ég gaf.  Eitt sinn gaf.  Ég gaf þér allt.  Allt sem ég sá Runnu niður tár Allt sem ég gaf Eitt sinn gaf Ég gaf þér allt Ég gaf þér allt Ég gaf þér allt Hatrið mun sigra Ástin deyja Ég gaf þér allt Hatrið mun sigra Gleðin tekur enda Ég gaf þér allt Enda er hún blekking Svikul tálsýn Hatrið mun sigra "
"18","18","Estonia","Victor Crone","""Storm""","English","19","86",2019," All my life I've wondered why I keep fighting all the tides For a million reasons that I find But I might, I might be all wrong I've hit highs and I've hit lows But somewhere down the winding road It felt like I could lose it all But I might, I might have been wrong A storm like this Can break a man like this But when it all calms down We're still safe and sound All my life I've tried to find The meaning of what's left behind They say it's life itself but I feel It might, it might be all wrong A storm like this Can break a man like this And when it all calms down We're still safe and sound A storm like this Can break a man like this And when it all calms down We'll be safe and sound Even if the sky falls down We can turn it all around We'll escape the darkest clouds Then we'll be safe and sound Wherever we may go Whatever happens down the road However far from home I know we won't let go A storm like this Can break a man like this And when it all calms down We'll be safe and sound Even if the sky falls down We can turn it all around We'll escape the darkest clouds Then we'll be safe and sound A storm like this Can break a man like this And when it all calms down We'll be safe and sound In no time the storm will end It'll be alright again The battle scars won't matter then But I might, I might be all wrong "
"19","19","Belarus","ZENA","""Like It""","English","25","31",2019," I guess I forgotten to turn my phone Off I'm outside my comfort zone I'm tired of being lonely, tam-tara-ram Nobody gonna like this, no Okay, I don't like these empty words I'll go even if it really hurts It's making me stronger, tam-tara-ram I know it's gonna be Uuh, what should I do?  It's up to you, karma Uuh, I wish I knew Give me a sign, karma Just to remind you I don't give up  ( Give up )  I won't give up, no I'll always try Yes, you're gonna like it Yes, you're gonna like it  ( Let me in your heart )  Yes, you're gonna like it Yes, you're gonna like it, Let's break the rules Yes, you're gonna like it Yes, you're gonna like it  ( I'll share what I've got )  Yes, you're gonna like it Yes, you're gonna like it, baby, repeat my moves It feels crazy and a little wild I know what is wrong and what is right It's making me wiser, tam-tara-ram The universe is ours now Okay, put your favourite sneakers on And show your emotions on the floor Add hashtag to find ya, tam-tara-ram I know it's gonna be Uuh, what should I do?  It's up to you, karma Uuh, I wish I knew Give me a sign, karma Just to remind you I don't give up I won't give up, no I'll always try Yes, you're gonna like it Yes, you're gonna like it  ( Let me in your heart )  Yes, you're gonna like it Yes, you're gonna like it, Let's break the rules Yes, you're gonna like it Yes, you're gonna like it  ( I'll share what I've got )  Yes, you're gonna like it Yes, you're gonna like it, baby, repeat my moves Heya, give me fly, give me fly, give me fly Heya, like it too, like it too, like it too, baby I feel the flow of energy I should let go mistakes of me I feel the flow of energy You go with me, baby  Yes, you're gonna like it Yes, you're gonna like it Let me in your heart Yes, you're gonna like it Yes, you're gonna like it Let's break the rules Yes, you're gonna like it Yes, you're gonna like it, I'll share what I've got I'll share what I've got Yes, you're gonna like it Yes, you're gonna like it baby, repeat my moves "
"20","20","Azerbaijan","Chingiz","""Truth""","English","7","297",2019," I'm in the mirror So freaking bitter But I've gotta get through I've gotta get through Keep it together Be cool under pressure 'Cause she wants to break you She wants to break you Drink till I forget She's on to the next And when the ghost starts screaming Right when they resonate Hear my heart confess It's been so hard to bear So shut up about it Shut up about it It's just too hard to hear So shut up about it Shut up about it Oh, oh-oh-oh, oh-oh-oh-oh-oh Shut up, shut up about it  Out of the mirror It's getting clearer But then out of the blue She crashes the room Gotta remember She is a killer With that freaking perfume Girl, it's too soon It's been so hard to bear So shut up about it Shut up about it It's just too hard to hear So shut up about it Shut up about it Oh, oh-oh-oh, oh-oh-oh-oh-oh Shut up, shut up about it Oh, oh-oh-oh, oh-oh-oh-oh-oh Shut up, shut up about it I don't need, I don't need the truth I don't need, I don't need the truth  It's been so hard to bear So shut up about it Shut up about it It's just too hard to hear So shut up about it Shut up about it Oh, oh-oh-oh, oh-oh-oh-oh-oh Shut up, shut up about it Oh, oh-oh-oh, oh-oh-oh-oh-oh Shut up, shut up about it "
"21","21","France","Bilal Hassani","""Roi""","French, English","14","105",2019,"  I am me, and I know I will always be Je suis free, oui, j'invente ma vie Ne me demandez pas qui je suis Moi je suis le même depuis tout petit Et malgré les regards, les avis Je pleure, je sors et je ris You put me in a box, want me to be like you Je suis pas dans les codes, ça dérange beaucoup At the end of the day, you cannot change me, boo Alors, laisse-moi m'envoler I, I'm not rich, but I'm shining bright I can see my kingdom now Quand je rêve, je suis un roi Quand je rêve, je suis un roi I'm not rich, but I'm shining bright I can see my kingdom now Quand je rêve, je suis un roi And I know-oh-oh-ow, even though-oh-oh-oh You try to take me down, you cannot break me, nah, nah Toutes ces voix: ""Fais comme ci, fais comme ça"" Moi, je les cala pas, you can never remove my crown Who are we?  When we hurt, when we fight for free Only God can judge you and me Ce qu'on est, on ne l'a pas choisi On choisit Son travail, sa coiffure, ses amis Sa routine, parfois l'amour aussi Ça passe ou ça casse, mais ça regarde qui?  I, I'm not rich, but I'm shining bright I can see my kingdom now Quand je rêve, je suis un roi Quand je rêve, je suis un roi I'm not rich, but I'm shining bright I can see my kingdom now Quand je rêve, je suis un roi And I know-oh-oh-ow, even though-oh-oh-oh You try to take me down, you cannot break me, nah, nah Toutes ces voix: ""Fais comme ci, fais comme ça"" Moi, je les cala pas, you can never remove my crown Je suis un roi Quand je rêve, je suis un roi "
"22","22","Italy","Mahmood","""Soldi""","Italian[h]","2","465",2019,"  In periferia fa molto caldo Mamma stai tranquilla, sto arrivando Te la prenderai per un bugiardo Ti sembrava amore ma era altro Beve champagne sotto Ramadan Alla TV danno Jackie Chan Fuma narghilè, mi chiede come va Mi chiede come va, come va, come va Sai già come va, come va, come va Penso più veloce per capire Se domani tu mi fregherai Non ho tempo per chiarire Perché solo ora so cosa sei È difficile stare al mondo Quando perdi l'orgoglio Lasci casa in un giorno Tu dimmi se Pensavi solo ai soldi, soldi Come se avessi avuto soldi, soldi Dimmi se ti manco o te ne fotti, fotti Mi chiedevi come va, come va, come va Adesso come va, come va, come va Ciò che devi dire non l'hai detto Tradire è una pallottola nel petto Prendi tutta la tua carità Menti a casa ma lo sai che lo sa Su una sedia lei mi chiederà Mi chiede come va, come va, come va Sai già come va, come va, come va Penso più veloce per capire Se domani tu mi fregherai Non ho tempo per chiarire Perché solo ora so cosa sei È difficile stare al mondo Quando perdi l'orgoglio Ho capito in un secondo Che tu da me Volevi solo soldi, soldi Come se avessi avuto soldi, soldi Prima mi parlavi fino a tardi, tardi Mi chiedevi come va, come va, come va Adesso come va, come va, come va Waladi waladi habibi ta'aleena* Mi dicevi giocando, giocando con aria fiera Waladi waladi habibi, sembrava vera La voglia, la voglia di tornare come prima  Io da te non ho voluto soldi È difficile stare al mondo Quando perdi l'orgoglio Lasci casa in un giorno Tu dimmi se Volevi solo soldi, soldi Come se avessi avuto soldi, soldi Lasci la città ma nessuno lo sa Ieri eri qua, ora dove sei papà?  Mi chiedi come va, come va, come va Sai già come va, come va, come va  * ""Waladi waladi habibi ta'aleena""  ( ولدي, ولدي, حبيبي تعال هنا )  La frase significa: ""Figlio mio, figlio mio, amore, vieni qua"" "
"23","23","Serbia","Nevena Božović","""Kruna"" (Круна)","Serbian[c]","17","92",2019,"  Pogled mili Jedini dušu smiri O, volim te Noć je duga Bez tebe tuga Ruku mi daj Nikad ne puštaj Everything for you I give myself to you Neka me svet čuje sad Životom branim te ja Neka nas svi vide sad Svako nek zna da zauvek Tvoja sam ja Kruna je tvoja Ljubavi moja Želim da znaš Da tebi pripada Everything for you I give myself to you Neka me svet čuje sad Životom branim te ja Neka nas svi vide sad Svako nek zna da zauvek Tvoja sam ja Svako nek zna da zauvek Volim te ja "
"24","24","Switzerland","Luca Hänni","""She Got Me""","English","4","360",2019," I noticed her when she arrived Kinda of lady that mama like But mama, she ain't here tonight Gettin' rowdy, rowdy When she poured out a little spice Got the whole place on a vibe Monday night into Friday night Gettin' rowdy, rowdy She let her body. . .  talk She make the party. . .  stop She gettin' naughty. . .  ya Droppin' it, droppin' it down When she go low, when she go low She go so low, she go so low Oh, she know oh Oh, she know she got me dirty dancin' When she go low, when she go low She go so low, she go so low Oh, she know oh Oh, she know she got me dirty dancin' Dirty dancin' Dirty dancin' Dirty dancin' Oh, she lightin' the fire now We're goin' wild, like an animal All in, gonna sweat it out Gettin' rowdy, rowdy Turnin' heads and turnin' up Breakin' necks, she breakin' cups Look at her, can't get enough Gettin' rowdy, rowdy She let her body. . .  talk She make the party. . .  stop She gettin' naughty. . .  ya Droppin' it, droppin' it down When she go low, when she go low She go so low, she go so low Oh, she know oh Oh, she know she got me dirty dancin' When she go low, when she go low She go so low, she go so low Oh, she know oh Oh, she know she got me dirty dancin' Dirty dancin' Dirty dancin' All the boys go, yo-yo-yo All the girls go, yo-yo-yo Everyone go, yo-yo-yo She got us dirty dancin' When she go low, when she go low She go so low, she go so low Oh, she know oh Oh, she know she got me dirty dancin' She got me dirty dancin' Dirty dancin' Oh, she got me Dirty dancin' Yeah, she got me, got me, got me Dirty dancin' When she go low, when she go low She go so low, she go so low Oh, she know oh Oh, she know she got me dirty dancin' Dirty dancin' "
"25","25","Australia","Kate Miller-Heidke","""Zero Gravity""","English","9","285",2019," Hey you It's me again Hey you Stone in my shoe I've been aching Feeling low You're so heavy I have got to let you go I'm going where there's zero gravity Zero gravity Zero gravity I'm free, ah. . .   Hey you Lock with no key Hey you Earth with no sea  I've been freezing On the ground You're so heavy I can't let you keep me down anymore  Zero gravity Zero gravity   ( and it feels like )  Ah. . .   ( and it feels like )  Ah. . .   ( and it feels like )  Ah. . .   ( and it feels like )  Ah. . .   Nothing holding me down Nothing holding me down Nothing holding me down now Nothing holding me down  Nothing holding me down Nothing holding me down Nothing holding me down now Nothing holding me down "
"26","26","Spain","Miki","""La Venda""","Spanish","22","60",2019,"  Te compran porque te vendes Te vendes porque te sobras Te pierdes porque hay camino Te digo: hay otras cosas Te sales porque te quieres Te quieres, tu mente en forma Te eliges porque hay camino Te digo: hay otras cosas La venda ya cayó y solo quedó la alegría La venda ya cayó y empezaran nuevos días La venda ya cayó avivando fantasías La venda ya cayó y serás como querías Te rezas porque confías Te sientes que ya tenías Te vives, alto voltaje Te traje buenas noticias Te vales y ya no fuerzas Te vives y te interesas Te saltas, no quedan normas Ahora, la vida loca La venda ya cayó y solo quedó la alegría La venda ya cayó y empezarán nuevos días La venda ya cayó avivando fantasías La venda ya cayó y serás como querías Lo que ere, lo que ere, ere, e Lo que ere, lo que ere, ere, e Lo que ere, lo que ere, ere, e Lo que ere, lo que ere, ere, e Lo que ere, lo que ere, ere, e Lo que ere, lo que ere, ere, e La venda ya cayó y solo quedó la alegría La venda ya cayó y empezaran nuevos días La venda ya cayó avivando fantasías La venda ya cayó y serás como querías "
"27","1","Ukraine","Mélovin","""Under the Ladder""","English","17","130",2018,"  Curtains down, I'm laughing at the trial Help me to unravel Tangle of my innocence inside Faith's bout to be severed  ( Oh oh oh oh )  Won't get any better  ( Oh oh oh oh )  Walk under the ladder Shout out just one reason what's this for You can see that whatever the weather That the wind's always there, always fair  ( Oh oh oh )  And it has always been now or never The decision has got to be made  ( Oh oh oh )   ( Oh oh oh oh oh oh oh oh oh, yeah )   ( Oh oh oh oh oh oh oh oh oh, yeah )  Desperate thoughts, your hope calls you a liar Fear begins to revel Nothing but your will sets you on fire Fire lasts forever  ( Oh oh oh oh )  Can't get any better  ( Oh oh oh oh )  Dance under the ladder If you dare, so what you're waiting for You can see that whatever the weather That the wind's always there, always fair  ( Oh oh oh )  And it has always been now or never The decision has got to be made  ( Oh oh oh )   ( Oh oh oh oh oh oh oh oh oh, yeah )   ( Oh oh oh oh oh oh oh oh oh, yeah )  You can see that whatever the weather That the wind's always there, always fair  ( Oh oh oh )  And it has always been now or never The decision has got to be made You can see that whatever the weather That the wind's always there, always fair  ( Oh oh oh )  And it has always been now or never The decision has got to be made  ( Oh oh oh )   ( Oh oh oh oh oh oh oh oh oh, yeah )   ( Oh oh oh oh oh oh oh oh oh, yeah )  "
